Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 02:16:32.319,114468.8,0.001,BTCUSDT
2025-09-30 02:16:32.319,114468.8,0.02,BTCUSDT
2025-09-30 02:16:32.319,114468.8,0.007,BTCUSDT
2025-09-30 02:16:32.319,114468.8,0.005,BTCUSDT
2025-09-30 02:16:32.319,114468.8,0.003,BTCUSDT
2025-09-30 02:16:32.319,114468.8,0.025,BTCUSDT
2025-09-30 02:16:32.319,114468.8,0.001,BTCUSDT
2025-09-30 02:16:32.319,114468.8,0.001,BTCUSDT
2025-09-30 02:16:32.319,114468.8,0.004,BTCUSDT
2025-09-30 02:16:32.319,114468.8,0.045,BTCUSDT
2025-09-30 02:16:32.319,114468.8,0.003,BTCUSDT
2025-09-30 02:16:32.319,114468.8,0.087,BTCUSDT
2025-09-30 02:16:32.319,114468.8,0.001,BTCUSDT
2025-09-30 02:16:32.319,114468.8,0.014,BTCUSDT
2025-09-30 02:16:32.319,114468.8,0.007,BTCUSDT
2025-09-30 02:16:32.319,114468.8,0.021,BTCUSDT
2025-09-30 02:16:32.319,114468.8,0.001,BTCUSDT
2025-09-30 02:16:32.319,114468.8,0.001,BTCUSDT
2025-09-30 02:16:32.319,114468.8,0.001,BTCUSDT
2025-09-30 02:16:32.319,114468.8,0.001,BTCUSDT
2025-09-30 02:16:32.319,114468.8,0.002,BTCUSDT
2025-09-30 02:16:32.319,114468.8,0.001,BTCUSDT
2025-09-30 02:16:32.319,114468.8,0.002,BTCUSDT
2025-09-30 02:16:32.319,114468.8,0.001,BTCUSDT
2025-09-30 02:16:32.319,114468.9,0.002,BTCUSDT
2025-09-30 02:16:32.319,114468.9,0.001,BTCUSDT
2025-09-30 02:16:32.319,114468.9,0.001,BTCUSDT
2025-09-30 02:16:32.319,114468.9,0.001,BTCUSDT
2025-09-30 02:16:32.319,114468.9,0.001,BTCUSDT
2025-09-30 02:16:32.319,114468.9,0.025,BTCUSDT
2025-09-30 02:16:32.319,114468.9,0.004,BTCUSDT
2025-09-30 02:16:32.319,114468.9,0.2,BTCUSDT
2025-09-30 02:16:32.319,114468.9,0.004,BTCUSDT
2025-09-30 02:16:32.319,114468.9,0.001,BTCUSDT
2025-09-30 02:16:32.319,114468.9,0.003,BTCUSDT
2025-09-30 02:16:32.319,114468.9,0.002,BTCUSDT
2025-09-30 02:16:32.319,114469.0,0.268,BTCUSDT
2025-09-30 02:16:32.319,114469.0,0.034,BTCUSDT
2025-09-30 02:16:32.319,114469.1,0.002,BTCUSDT
2025-09-30 02:16:32.319,114469.2,0.001,BTCUSDT
2025-09-30 02:16:32.319,114469.4,0.003,BTCUSDT
2025-09-30 02:16:32.319,114469.5,0.004,BTCUSDT
2025-09-30 02:16:32.319,114469.5,0.002,BTCUSDT
2025-09-30 02:16:32.319,114469.6,0.011,BTCUSDT
2025-09-30 02:16:32.319,114470.0,0.001,BTCUSDT
2025-09-30 02:16:32.347,114469.5,0.002,BTCUSDT
2025-09-30 02:16:32.347,114469.5,0.001,BTCUSDT
2025-09-30 02:16:32.347,114470.1,0.002,BTCUSDT
2025-09-30 02:16:32.347,114470.1,0.002,BTCUSDT
2025-09-30 02:16:32.347,114470.1,0.002,BTCUSDT
2025-09-30 02:16:32.347,114470.1,0.001,BTCUSDT
2025-09-30 02:16:32.347,114470.4,0.001,BTCUSDT
2025-09-30 02:16:32.347,114470.5,0.003,BTCUSDT
2025-09-30 02:16:32.347,114470.7,0.002,BTCUSDT
2025-09-30 02:16:32.347,114470.8,0.003,BTCUSDT
2025-09-30 02:16:32.347,114471.0,0.002,BTCUSDT
2025-09-30 02:16:32.347,114471.2,0.001,BTCUSDT
2025-09-30 02:16:32.347,114471.3,0.002,BTCUSDT
2025-09-30 02:16:32.347,114471.3,1.5,BTCUSDT
2025-09-30 02:16:32.347,114471.5,0.001,BTCUSDT
2025-09-30 02:16:32.347,114471.6,0.001,BTCUSDT
2025-09-30 02:16:32.347,114471.8,0.001,BTCUSDT
2025-09-30 02:16:32.347,114471.9,0.001,BTCUSDT
2025-09-30 02:16:32.347,114471.9,0.002,BTCUSDT
2025-09-30 02:16:32.347,114471.9,0.001,BTCUSDT
2025-09-30 02:16:32.347,114472.1,0.002,BTCUSDT
2025-09-30 02:16:32.347,114472.4,0.002,BTCUSDT
2025-09-30 02:16:32.347,114472.5,0.002,BTCUSDT
2025-09-30 02:16:32.347,114472.7,0.003,BTCUSDT
2025-09-30 02:16:32.347,114472.8,0.003,BTCUSDT
2025-09-30 02:16:32.347,114472.9,0.002,BTCUSDT
2025-09-30 02:16:32.347,114473.1,0.002,BTCUSDT
2025-09-30 02:16:32.347,114473.1,0.002,BTCUSDT
2025-09-30 02:16:32.347,114473.1,0.025,BTCUSDT
2025-09-30 02:16:32.347,114473.2,0.002,BTCUSDT
2025-09-30 02:16:32.347,114473.4,0.003,BTCUSDT
2025-09-30 02:16:32.347,114473.5,0.004,BTCUSDT
2025-09-30 02:16:32.347,114473.5,0.001,BTCUSDT
2025-09-30 02:16:32.347,114473.5,0.002,BTCUSDT
2025-09-30 02:16:32.347,114473.7,0.001,BTCUSDT
2025-09-30 02:16:32.347,114473.7,0.001,BTCUSDT
2025-09-30 02:16:32.347,114473.7,0.002,BTCUSDT
2025-09-30 02:16:32.347,114473.8,0.005,BTCUSDT
2025-09-30 02:16:32.347,114473.9,0.003,BTCUSDT
2025-09-30 02:16:32.347,114474.3,0.002,BTCUSDT
2025-09-30 02:16:32.347,114474.3,0.002,BTCUSDT
2025-09-30 02:16:32.347,114474.4,0.003,BTCUSDT
2025-09-30 02:16:32.347,114474.5,0.05,BTCUSDT
2025-09-30 02:16:32.347,114474.5,0.001,BTCUSDT
2025-09-30 02:16:32.382,114472.3,0.01,BTCUSDT
2025-09-30 02:16:32.438,114472.4,0.001,BTCUSDT
2025-09-30 02:16:32.438,114472.4,0.001,BTCUSDT
2025-09-30 02:16:32.438,114472.4,0.001,BTCUSDT
2025-09-30 02:16:32.438,114472.4,0.001,BTCUSDT
2025-09-30 02:16:32.438,114472.4,0.008,BTCUSDT
2025-09-30 02:16:32.456,114472.3,0.001,BTCUSDT
2025-09-30 02:16:32.483,114472.4,0.175,BTCUSDT
2025-09-30 02:16:32.483,114472.4,0.155,BTCUSDT
2025-09-30 02:16:32.483,114472.4,0.001,BTCUSDT
2025-09-30 02:16:32.483,114472.4,0.019,BTCUSDT
2025-09-30 02:16:32.563,114472.4,0.001,BTCUSDT
2025-09-30 02:16:32.563,114472.4,0.001,BTCUSDT
2025-09-30 02:16:32.563,114472.4,0.001,BTCUSDT
2025-09-30 02:16:32.563,114472.4,0.001,BTCUSDT
2025-09-30 02:16:32.563,114472.4,0.001,BTCUSDT
2025-09-30 02:16:32.563,114472.4,0.001,BTCUSDT
2025-09-30 02:16:32.563,114472.4,0.001,BTCUSDT
2025-09-30 02:16:32.563,114472.4,0.001,BTCUSDT
2025-09-30 02:16:32.563,114472.4,0.018,BTCUSDT
2025-09-30 02:16:32.563,114472.4,0.087,BTCUSDT
2025-09-30 02:16:32.563,114472.4,0.087,BTCUSDT
2025-09-30 02:16:32.563,114472.4,0.4,BTCUSDT
2025-09-30 02:16:32.563,114472.4,0.001,BTCUSDT
2025-09-30 02:16:32.563,114472.4,0.003,BTCUSDT
2025-09-30 02:16:32.563,114472.4,0.001,BTCUSDT
2025-09-30 02:16:32.563,114472.4,0.087,BTCUSDT
2025-09-30 02:16:32.563,114472.4,0.001,BTCUSDT
2025-09-30 02:16:32.563,114472.4,0.002,BTCUSDT
2025-09-30 02:16:32.564,114472.5,0.001,BTCUSDT
2025-09-30 02:16:32.564,114472.5,0.001,BTCUSDT
2025-09-30 02:16:32.564,114472.5,0.002,BTCUSDT
2025-09-30 02:16:32.564,114473.1,0.001,BTCUSDT
2025-09-30 02:16:32.565,114473.9,0.002,BTCUSDT
2025-09-30 02:16:32.565,114474.6,0.2,BTCUSDT
2025-09-30 02:16:32.565,114474.6,0.001,BTCUSDT
2025-09-30 02:16:32.565,114474.8,0.004,BTCUSDT
2025-09-30 02:16:32.565,114474.9,0.001,BTCUSDT
2025-09-30 02:16:32.565,114474.9,0.002,BTCUSDT
2025-09-30 02:16:32.565,114475.0,0.023,BTCUSDT
2025-09-30 02:16:32.565,114475.0,0.104,BTCUSDT
2025-09-30 02:16:32.565,114475.0,0.003,BTCUSDT
2025-09-30 02:16:32.565,114475.0,0.001,BTCUSDT
2025-09-30 02:16:32.565,114475.2,0.001,BTCUSDT
2025-09-30 02:16:32.565,114475.2,0.002,BTCUSDT
2025-09-30 02:16:32.565,114475.5,0.002,BTCUSDT
2025-09-30 02:16:32.565,114475.6,0.004,BTCUSDT
2025-09-30 02:16:32.565,114475.7,0.001,BTCUSDT
2025-09-30 02:16:32.566,114475.5,0.066,BTCUSDT
2025-09-30 02:16:32.566,114475.5,0.001,BTCUSDT
2025-09-30 02:16:32.566,114476.1,0.002,BTCUSDT
2025-09-30 02:16:32.566,114476.3,0.01,BTCUSDT
2025-09-30 02:16:32.566,114476.4,0.015,BTCUSDT
2025-09-30 02:16:32.566,114476.6,0.001,BTCUSDT
2025-09-30 02:16:32.566,114476.7,0.508,BTCUSDT
2025-09-30 02:16:32.653,114476.6,0.702,BTCUSDT
2025-09-30 02:16:32.653,114476.6,0.512,BTCUSDT
